Altium Designer Pick and Place Locations
C:\Users\Graeme\AppData\Local\TempReleases\Snapshot\1\Assembly\Assembly Outputs\Generates pick and place files - TopLayer.csv

========================================================================================================================
File Design Information:

Date:       20/10/22
Time:       16:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"SB12","Solder Bridge 0603 On","TopLayer","Solder_Bridge_0603_On","-37.9500","94.5000","0"
"SB11","Solder Bridge 0603 On","TopLayer","Solder_Bridge_0603_On","28.0500","94.5000","0"
"U5","SN75C3221PWR","TopLayer","PW0016A_N","-16.8000","94.5000","0"
"U4","LTC4332HUFD#PBF","TopLayer","FP-UFD-20-05-08-1711-IPC_B","-33.0000","95.7000","0"
"U3","LTC4332HUFD#PBF","TopLayer","FP-UFD-20-05-08-1711-IPC_B","33.0000","95.7000","0"
"SB10","Solder Bridge 0603 On","TopLayer","Solder_Bridge_0603_On","-27.2000","96.7500","180"
"SB8","Solder Bridge 0603 On","TopLayer","Solder_Bridge_0603_On","-27.2000","95.2500","180"
"SB5","Solder Bridge 0603 On","TopLayer","Solder_Bridge_0603_On","38.5500","96.7000","180"
"SB3","Solder Bridge 0603 On","TopLayer","Solder_Bridge_0603_On","38.5500","95.2000","180"
"R18","R0603-110R-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","-36.0000","101.7000","180"
"R17","R0603-620R-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","-32.5000","101.7000","0"
"R16","R0603-620R-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","-29.5000","101.7000","0"
"R15","R0603-10k-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","-38.0000","92.7500","180"
"R14","R0603-10k-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","-27.2980","91.7000","0"
"R13","R0603-110R-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","31.5000","101.7000","180"
"R12","R0603-620R-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","35.5000","101.7000","0"
"R11","R0603-620R-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","38.5000","101.7000","0"
"R10","R0603-10k-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","28.0000","92.7500","180"
"R9","R0603-10k-1/16W-0.1%","TopLayer","FP-CPF0603-IPC_B","38.7020","91.7000","0"
"C13","C0603-100nF-100V-10%-X7R","TopLayer","FP-GRM188-0_1-e0_2_0_5-IPC_B","-11.8000","96.5000","90"
